ID,Name,Group,Calories,Fat,Protein,Carbohydrate,Sugars,Fiber,Saturated Fats,Calcium,"Iron, Fe","Potassium, K",Magnesium,Net-Carbs,PRAL score,Sucrose,Glucose (Dextrose),Fructose,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
172296,Babyfood Cereal Barley Prepared With Whole Milk,Baby Foods,84,3.26,3.73,9.94,5.1,0.6,1.76,162,3.49,151,18,9.34,0.132,0,0,0,802,309
172297,Babyfood Cereal Oatmeal With Bananas Prepared With Whole Milk,Baby Foods,86,3.46,3.82,10,5.9,0.4,1.82,153,3.63,178,18,9.6,-0.239,0,0,0,859,345
172299,Babyfood Cereal Rice Prepared With Whole Milk,Baby Foods,85,3.38,3.45,10.31,4.87,0,1.793,168,3.63,151,25,10.31,0.177,0,0,0,846,333
172420,Lentils Raw,Beans and Lentils,352,1.06,24.63,63.35,2.03,10.7,0.154,35,6.51,677,47,52.65,6.49,1.47,0,0.27,193,526
172428,Peas Green Split Mature Seeds Raw,Beans and Lentils,364,3.89,23.12,61.63,3.14,22.2,0.408,46,4.73,852,63,39.43,3.455,2.69,0.44,0,615,1022
172442,Miso,Beans and Lentils,198,6.01,12.79,25.37,6.2,5.4,1.025,57,2.49,210,48,19.97,5.716,0,0,6,1118,2884
172465,Refried Beans Canned Fat-Free,Beans and Lentils,79,0.45,5.34,13.5,0.61,4.7,0.093,34,1.62,344,38,8.8,-1.976,0.61,0,0,44,287
172765,Muffins Blueberry Commercially Prepared (Includes Mini-Muffins),Baked Foods,375,16.07,4.49,53,31.47,1.1,2.844,44,1.3,121,10,51.9,4.214,28.01,1.23,1.21,4822,8103
172800,Taco Shells Baked,Baked Foods,476,21.79,6.41,63.49,1.5,6.7,7.105,100,1.64,231,83,56.79,3.405,1,0.1,0.1,6935,5495
172830,Chicken Broiler Rotisserie BBQ Wing Meat And Skin,Meats,257,18.04,23.42,0.6,0.6,0,4.627,33,0.93,285,23,0.6,13.715,0.22,0.21,0.16,7332,2177
172934,Pork Sausage Link/patty Unprepared,Meats,288,24.8,15.39,0.93,0.93,0,7.57,8,1.02,307,15,0.93,5.486,0.1,0.56,0,9844,4432
172969,Scrapple Pork,Meats,213,13.87,8.06,14.06,0.2,0.3,4.732,7,1.89,158,13,13.76,2.995,0,0.2,0,6156,1664
173131,Microwave Popcorn,Snacks,402,6.1,10.72,76.04,0.65,13.6,1.184,14,2.87,284,124,62.44,7.065,0.65,0,0,2767,2216
